alternative design flag set to: false
 map[component3:[11.643µs 40m40.952619055s 38m53.140540983s 11.93372836s 6m34.721488268s 4m23.085570028s 20.577317509s 11.632µs 37.883µs 35.165µs 9.039µs 54.819µs 54.365µs 55.849µs 7.883µs 10.069µs 54.386µs 37.946µs 39.739µs 35.877µs 7.023µs 10.944µs 8.774µs 37.27µs 79.316µs 7.413µs 30.59µs 55.361µs 9.324µs 69.049µs 9.732µs 9.33µs 36.397µs 7.117µs 28.134µs 9.495µs 9.962µs 11.229µs 38.535µs 38.196µs 54.339µs 11.208µs 38.494µs 10.494µs 11.084µs 11.303µs 9.929µs 9.073µs 57.133µs 35.138µs 30.374µs 6.336µs 9.191µs 52.187µs 37.747µs 7.656µs 36.649µs 44.65µs 44.1µs 9.624µs 37.944µs 41.001µs 45.456µs 9.881µs 59.281µs 10.65µs 53.217µs 50.624µs 35.389µs 6.582µs 11.061µs 54.129µs 40.459µs 8.87µs 10.125µs 36.357µs 30.208µs 10.245µs 6.514µs 6.736µs 7.56µs 5.838µs 9.804µs 14.755µs 13.106µs 53.898µs 7.188µs 31.329µs 12.181µs 41.825µs 39.628µs 38.335µs 67.163µs 38.165µs 46.209µs 66.671µs 39.677µs 40.178µs 31.696µs 8.586µs 11.58µs] component1:[4.098µs 3.537951613s 2.914031433s 6.443µs 32.578µs 3.470105812s 14.494µs 34.655µs 42.221563774s 3m31.191945398s 5m42.139152999s 3m46.958372154s 4m6.382045882s 4m29.979972505s 3m33.655135148s 4m49.659710451s 4m36.148719532s 3m23.711381094s 4m33.806479709s 3m39.848286243s 2m44.808202503s 3m26.971195072s 3m56.25458367s 3m55.727520522s 3m41.052209539s 4m14.127686772s 3m47.720529548s 4m5.948396895s 4m35.475650654s 3m30.440063193s 3m18.800286446s 4m6.374662993s 3m57.215560734s 3m30.991383907s 3m45.832260801s 3m34.537307835s 3m56.341503927s 3m45.452337566s 3m40.336356998s 3m51.691410044s 3m23.983361962s 3m36.267147817s 4m23.771561804s 4m2.254537635s 3m46.782410219s 4m13.45652352s 3m53.726388086s 3m38.00334459s 3m33.290247432s 3m21.558254161s 4m2.110535461s 3m57.34651363s 3m20.232173464s 3m26.085172068s 3m55.257586354s 3m56.172546943s 3m34.645242571s 3m47.96535127s 3m58.878523376s 3m54.280422686s 3m53.834398227s 4m16.133551013s 3m53.400594832s 4m53.547810184s 4m26.379595224s 2m52.624238258s 3m59.939327208s 3m51.902253894s 3m16.692142122s 3m55.03524912s 4m40.451730066s 4m2.706694399s 3m47.944791327s 3m48.668719169s 3m36.361097799s 3m30.934231036s 3m8.628334201s 3m22.791162308s 3m22.988145285s 3m17.192144976s 4m9.209439821s 4m40.363728298s 4m10.608435488s 4m12.887570133s 4m13.054563105s 4m9.767388351s 3m43.474266541s 3m29.660205568s 3m45.472324894s 3m31.856318535s 3m35.547156994s 3m43.214416259s 3m53.368672088s 4m9.417659708s 3m45.065262335s 3m36.69416557s 3m38.303287607s 3m20.794171723s 3m7.253205926s 3m29.259264655s 4m37.492461502s]] 

ws2 done making product #91 in 4m20.425308447s
ws3 done making product #102 in 2m2.482186428s
ws2 done making product #92 in 1m18.788207623s
ws2 done making product #93 in 10.276115193s
ws2 done making product #94 in 40.415072951s
ws3 done making product #103 in 2m25.821459052s
ws2 done making product #95 in 1m28.368199155s
ws2 done making product #96 in 16.219123195s
ws2 done making product #97 in 14.397061698s
ws2 done making product #98 in 16.904088695s
ws3 done making product #104 in 2m48.705510047s
ws3 done making product #105 in 1m38.217104386s
ws2 done making product #99 in 5m19.666290523s
ws3 done making product #106 in 1m55.478998554s
ws3 done making product #107 in 1m49.746145186s
ws2 done making product #100 in 2m5.57213963s
ws2 done making product #101 in 11.799142976s



 map[component2:[11.368µs 28.047µs 48.762µs 66.578µs 6m10.407459338s 38.524µs 54.334µs 34.765µs 48.281µs 6.446µs 56.892µs 23.603µs 4.249µs 10.382µs 10.555µs 11.313µs 40.004µs 72.092µs 37.678µs 11.402µs 38.95µs 25.122063988s 31.539µs 41.225µs 26.002µs 7.298µs 31.347µs 60.767µs 53.642µs 12.124µs 7.539µs 3.801µs 40.537µs 62.943µs 40.562µs 13.005µs 68.729µs 6.72µs 6.784µs 11.127µs 10.777µs 56.956µs 27.136167174s 21.774248811s 38.695µs 10.209µs 5.355µs 3.977µs 42.494µs 34.934µs 29.879µs 29.511µs 50.889µs 6.82µs 37.473µs 9.596µs 4.843983185s 38.918µs 11.647µs 38.872µs 37.294µs 40.236µs 45.175µs 39.695µs 53.894µs 51.926µs 11.893µs 4.115µs 62.687µs 28.649µs 32.202µs 6.807µs 31.2µs 51.301µs 11.085µs 13.246µs 8.044µs 37.948µs 11.465µs 52.902µs 36.266µs 28.891µs 57.191µs 34.708µs 30.723µs 39.198µs 9.678µs 39.792µs 30.985µs 5.918995545s 27.948µs 10.072µs 7.983µs 39.956µs 8.031µs 10.453µs 32.384µs 60.168µs 54.68µs 9.595µs 49.139µs] component1:[12.422µs 12.451µs 4m29.428764963s 54.733µs 39.164213769s 395.915943ms 1m30.033015399s 1m2.73361231s 33.073431649s 31.145268762s 22.434300052s 17.957286126s 2m10.898380453s 3m50.484469566s 3m53.398355676s 2m22.540272819s 26.008253971s 21.448509271s 5m36.163770942s 5m41.433556891s 27.969184922s 1m5.011168587s 56.677298592s 3m19.103378489s 5m6.732529459s 8m57.164891967s 7m23.063679342s 5m48.808738476s 5m27.911862998s 18.320330571s 3m43.358380565s 3m46.660315428s 2m11.409409865s 3m55.33344689s 5m36.74085215s 4m13.3566659s 3m57.543306248s 7m12.283631797s 5m32.37558775s 5m55.264545952s 7m21.339723549s 5m15.269546187s 4m34.529514224s 2m39.174533624s 17.827326411s 3m33.626291228s 5m43.552436644s 3m55.589438228s 3m19.66255941s 7m14.631668187s 5m38.665482897s 7m11.079760493s 7m17.201391558s 4m13.381489506s 5m45.69947793s 3m41.901397941s 5m41.946570682s 4m0.309371841s 2m4.851435118s 4m18.994659576s 3m43.992490917s 1m33.02927449s 34.382158712s 1m20.461247733s 5m36.05153322s 4m51.98041049s 6m0.78738482s 7m13.625550629s 1m49.548393435s 24.562389894s 3m59.467540264s 3m51.071792506s 14m2.899205396s 14m10.665208409s 25.402340171s 2m11.503310235s 2m15.594294685s 3m56.541510117s 4m2.465493009s 27.65637735s 3m41.45543734s 3m44.047222137s 44.731185198s 5m31.534467865s 10m39.795875239s 7m21.831788374s 2m52.466446834s 2m19.525248351s 11m33.814992398s 12m32.585923217s 2m18.878272591s 4m21.657501648s 5m30.285612314s 1m29.064360593s 50.691228366s 2m8.783339627s 1m44.587391211s 30.616223248s 31.301188228s 5m36.570419745s 7m25.238475828s]] 

ws2 done making product #102 in 18.253074104s
ws2 done making product #103 in 34.566038563s
ws3 done making product #108 in 2m34.673462711s
ws3 done making product #109 in 1m43.308160654s
ws3 done making product #110 in 1m42.049029491s
